Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
15/02/20,14:30,RB Leipzig,Werder Bremen,3,0,H,2,0,H,10,8,3,1,10,12,8,1,1,1,0,
15/02/20,14:30,Union Berlin,Leverkusen,2,3,A,1,1,D,20,12,7,5,9,12,6,4,2,2,0,
15/02/20,17:30,Fortuna Dusseldorf,M'gladbach,1,4,A,1,1,D,9,17,4,6,10,10,2,5,2,2,0,
16/02/20,14:30,FC Koln,Bayern Munich,1,4,A,0,3,A,13,26,6,8,12,10,1,6,1,3,0,
16/02/20,17:00,Mainz,Schalke 04,0,0,D,0,0,D,15,8,5,3,7,11,3,6,2,2,0,
21/02/20,19:30,Bayern Munich,Paderborn,3,2,H,1,1,D,18,5,9,4,3,9,11,1,1,3,0,
22/02/20,14:30,Freiburg,Fortuna Dusseldorf,0,2,A,0,1,A,15,9,4,4,13,10,7,4,1,4,0,
22/02/20,14:30,Hertha,FC Koln,0,5,A,0,3,A,9,17,1,11,12,10,5,3,2,2,0,
22/02/20,14:30,M'gladbach,Hoffenheim,1,1,D,1,0,H,17,22,10,4,8,8,8,8,4,4,0,
22/02/20,14:30,Werder Bremen,Dortmund,0,2,A,0,0,D,8,12,2,6,13,8,2,6,0,0,0,
22/02/20,17:30,Schalke 04,RB Leipzig,0,5,A,0,1,A,3,22,2,8,10,7,2,5,2,3,0,
23/02/20,14:30,Leverkusen,Augsburg,2,0,H,1,0,H,9,8,4,3,8,12,2,3,2,4,0,
23/02/20,17:00,Wolfsburg,Mainz,4,0,H,2,0,H,16,13,6,3,10,12,4,14,0,2,0,
24/02/20,19:30,Ein Frankfurt,Union Berlin,1,2,A,0,0,D,21,11,3,7,10,15,14,6,3,4,0,
28/02/20,19:30,Fortuna Dusseldorf,Hertha,3,3,D,3,0,H,14,16,5,7,11,11,3,5,2,2,0,
29/02/20,14:30,Augsburg,M'gladbach,2,3,A,0,0,D,8,15,3,7,11,6,5,3,3,2,0,
29/02/20,14:30,Dortmund,Freiburg,1,0,H,1,0,H,16,13,2,4,5,9,6,4,1,0,0,
29/02/20,14:30,Hoffenheim,Bayern Munich,0,6,A,0,4,A,4,25,1,11,3,7,1,7,0,0,0,
29/02/20,14:30,Mainz,Paderborn,2,0,H,2,0,H,8,9,3,4,5,15,5,8,1,3,0,
29/02/20,17:30,FC Koln,Schalke 04,3,0,H,2,0,H,11,7,6,1,7,8,4,2,1,2,0,
01/03/20,12:30,Union Berlin,Wolfsburg,2,2,D,1,0,H,6,14,3,3,8,13,1,6,1,2,0,
01/03/20,14:30,RB Leipzig,Leverkusen,1,1,D,1,1,D,9,14,2,6,4,12,8,5,0,3,0,
06/03/20,19:00,Paderborn,FC Koln,1,2,A,0,2,A,16,15,2,3,8,12,5,9,3,4,0,
07/03/20,14:30,Freiburg,Union Berlin,3,1,H,1,0,H,9,14,4,4,5,20,7,2,2,3,0,
07/03/20,14:30,Hertha,Werder Bremen,2,2,D,1,2,A,19,7,5,3,16,5,3,1,3,3,0,
07/03/20,14:30,Leverkusen,Ein Frankfurt,4,0,H,2,0,H,14,9,5,3,10,12,1,3,1,0,0,
07/03/20,14:30,Schalke 04,Hoffenheim,1,1,D,1,0,H,14,4,4,1,8,12,4,5,0,1,0,
07/03/20,14:30,Wolfsburg,RB Leipzig,0,0,D,0,0,D,16,15,4,4,11,14,4,4,2,3,0,
07/03/20,17:30,M'gladbach,Dortmund,1,2,A,0,1,A,10,10,3,4,8,9,3,3,5,5,0,
08/03/20,14:30,Bayern Munich,Augsburg,2,0,H,0,0,D,17,8,6,2,4,7,9,4,1,0,0,
08/03/20,17:00,Mainz,Fortuna Dusseldorf,1,1,D,0,0,D,3,20,1,5,17,10,1,8,3,1,1,
11/03/20,17:30,M'gladbach,FC Koln,2,1,H,1,0,H,12,16,5,3,14,14,6,3,1,2,0,
16/05/20,14:30,Augsburg,Wolfsburg,1,2,A,0,1,A,8,17,3,5,8,11,3,1,1,3,0,
16/05/20,14:30,Dortmund,Schalke 04,4,0,H,2,0,H,11,10,4,3,9,8,4,2,2,2,0,
